comparison,metric,n,mean_difference,ci_low,ci_high,cohen_dz,candidate_only,reference_only,discordant,mcnemar_exact_p
MIKU-B3,success,70,0.2857142857142857,0.12857142857142856,0.42857142857142855,0.4462445508173731,27,7,34,0.0008213953115046024
MIKU-B3,collision,70,-0.35714285714285715,-0.4714285714285714,-0.24285714285714285,-0.740012869900955,0,25,25,5.960464477539063e-08
MIKU-B3,min_clearance_m,70,1.1098913029061337,0.5466333172729702,1.7221603138353587,0.42816699940371034,,,,
MIKU-B3,penalized_travel_time_s,70,-0.024285714285714327,-1.042857142857143,0.95,-0.005546936186750178,,,,
