schema_version,case_kind,seed,method,method_label,success,reached,collision,min_clearance_m,min_ttc_s,arrival_time_s,penalized_travel_time_s,progress_ratio,average_speed_mps,path_length_m,max_longitudinal_acceleration_mps2,max_lateral_acceleration_mps2,jerk_rms_mps3,time_window_violations,degraded_stop,runtime_ms,iterations,iterative_converged,joint_search_status,joint_domain_size,joint_evaluated_candidates,joint_expanded_spatial_branches,joint_absolute_gap,planning_cycles
miku-rolling-v1,crossing_pedestrian,0,B0,B0-TimeBlind,1,1,0,0.1599146924234759,0.1676113937001504,8.8,8.8,1.0,3.538749899799577,31.14099911823628,3.345820493483696,0.0,2.0365313090453947,0,0,165.10586004005745,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,0,MIKU,MIKU,0,1,1,0.3087970667265245,0.2845820647691054,8.9,14.0,1.0,3.4850821828809315,31.01723142764029,4.00000000000001,0.0,5.66354690245901,0,0,173.72955600148998,18,0,contains_nonoptimal_cycle,18,18,18,inf,18
miku-rolling-v1,crossing_pedestrian,1,B0,B0-TimeBlind,0,1,1,0.08000099943726902,0.0413654304012171,8.4,14.0,1.0,3.7254535897584184,31.293810153970718,3.0680124041604238,0.0,1.522772402182837,0,0,109.71700397203676,17,1,,,,,,17
miku-rolling-v1,crossing_pedestrian,1,MIKU,MIKU,1,1,0,0.1939760780011639,0.15825825771523255,8.5,8.5,1.0,3.675515309736458,31.241880132759896,3.2846225880291247,0.0,1.6717944674006302,0,0,173.1899929291103,17,0,all_cycles_optimal,17,17,17,0.0,17
miku-rolling-v1,crossing_pedestrian,2,B0,B0-TimeBlind,0,1,1,0.12926633846129265,0.12981982546642343,8.9,14.0,1.0,3.5155321945734213,31.28823653170345,4.0,0.0,3.138130403567014,0,0,837.2521800629329,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,2,MIKU,MIKU,1,1,0,0.2381378954277373,0.23776977657426226,8.1,8.1,1.0,3.8585469303046844,31.254230135467942,1.6877629199399153,0.0,0.833014092483048,0,0,67.60098700760864,17,0,all_cycles_optimal,17,17,17,0.0,17
miku-rolling-v1,crossing_pedestrian,3,B0,B0-TimeBlind,0,1,1,0.15065203918632264,0.44030924134858496,8.9,14.0,1.0,3.5028703774033128,31.175546358889484,3.9999999972098714,0.0,2.5827021362834235,0,0,309.64770607533865,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,3,MIKU,MIKU,0,0,1,0.20192017952295593,0.4807212616944208,,14.0,0.6717270429358804,2.313726500914359,20.82353850822923,4.000000000000001,0.0,1.9447558827903877,0,1,476.4721639803611,18,0,contains_nonoptimal_cycle,18,18,18,inf,18
miku-rolling-v1,crossing_pedestrian,4,B0,B0-TimeBlind,1,1,0,1.252943796707836,0.9884569926122458,7.5,7.5,1.0,4.135898257406026,31.019236930545198,0.8395710688183918,0.0,0.26347309564701266,0,0,37.616970017552376,15,1,,,,,,15
miku-rolling-v1,crossing_pedestrian,4,MIKU,MIKU,1,1,0,1.252943796707836,0.9884569926122458,7.5,7.5,1.0,4.135898257406026,31.019236930545198,0.8395710688183918,0.0,0.26347309564701266,0,0,43.16389001905918,15,0,all_cycles_optimal,15,15,15,0.0,15
miku-rolling-v1,crossing_pedestrian,5,B0,B0-TimeBlind,1,1,0,0.8558772609472209,0.6474916273412327,7.6,7.6,1.0,4.085180897844309,31.04737482361675,0.7765939688485428,0.0,0.27797125496966263,0,0,39.695972081972286,16,1,,,,,,16
miku-rolling-v1,crossing_pedestrian,5,MIKU,MIKU,1,1,0,0.8558772609472209,0.6474916273412327,7.6,7.6,1.0,4.085180897844309,31.04737482361675,0.7765939688485428,0.0,0.27797125496966263,0,0,44.43257799721323,16,0,all_cycles_optimal,16,16,16,0.0,16
miku-rolling-v1,crossing_pedestrian,6,B0,B0-TimeBlind,1,1,0,0.09841340037481863,0.22144382053761974,8.8,8.8,1.0,3.5366099878804347,31.12216789334783,3.2014623030763993,0.0,1.9403150941709144,0,0,78.98192200809717,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,6,MIKU,MIKU,0,0,1,0.28086595696343863,0.5609926303047053,,14.0,0.6408274289911206,2.207294477649345,19.865650298844105,4.0,0.0,6.22220067302385,0,1,109.77229996933602,18,0,contains_nonoptimal_cycle,18,18,18,inf,18
miku-rolling-v1,crossing_pedestrian,7,B0,B0-TimeBlind,0,1,1,0.14999850148547944,0.46481899290414325,8.9,14.0,1.0,3.4961460448250428,31.11569979894288,3.9500774701694072,0.0,2.4071683510784214,0,0,124.34581090928987,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,7,MIKU,MIKU,0,0,1,0.2231594779542676,0.5107112917319835,,14.0,0.6299004219999317,2.169657013213704,19.526913118923336,3.786710668167914,0.0,1.8088761141225453,0,1,337.8419210202992,18,0,contains_nonoptimal_cycle,18,18,18,inf,18
miku-rolling-v1,crossing_pedestrian,8,B0,B0-TimeBlind,1,1,0,0.11702027022243144,0.032737908342377456,7.8,7.8,1.0,3.987264635681204,31.10066415831339,2.0681682194085544,0.0,0.9006204552631932,0,0,54.98319599428214,16,1,,,,,,16
miku-rolling-v1,crossing_pedestrian,8,MIKU,MIKU,1,1,0,0.2317191044785983,0.14588778517262949,8.1,8.1,1.0,3.8553551499922536,31.22837671493725,2.3003409263161796,0.0,1.0635274676839015,0,0,88.96985804312862,17,0,all_cycles_optimal,17,17,17,0.0,17
miku-rolling-v1,crossing_pedestrian,9,B0,B0-TimeBlind,0,1,1,0.14396592110499062,0.1610431070099894,8.8,14.0,1.0,3.5642376936435953,31.36529170406364,4.0,0.0,3.0738844247372055,0,0,767.1274049789645,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,9,MIKU,MIKU,1,1,0,0.24642683746572142,0.23683915593264693,7.9,7.9,1.0,3.936795935851409,31.10068789322613,1.95778821885613,0.0,0.871985061163984,0,0,81.16336105740629,16,0,all_cycles_optimal,16,16,16,0.0,16
miku-rolling-v1,crossing_pedestrian,10,B0,B0-TimeBlind,1,1,0,0.0712841274872682,0.04126070859837966,8.3,8.3,1.0,3.753151595980569,31.151158246638722,2.5916518840135394,0.0,1.2940088725749732,0,0,121.84768501901999,17,1,,,,,,17
miku-rolling-v1,crossing_pedestrian,10,MIKU,MIKU,1,1,0,0.18262223086547902,0.15820593986197623,8.4,8.4,1.0,3.6997210000642893,31.077656400540032,2.7891699571051563,0.0,1.4377537443970783,0,0,588.3957769838162,17,0,all_cycles_optimal,17,17,17,0.0,17
miku-rolling-v1,crossing_pedestrian,11,B0,B0-TimeBlind,0,1,1,0.31644379982840953,0.36359080067653493,8.9,14.0,1.0,3.5079671621971418,31.220907743554562,4.0,0.0,5.209662212995481,0,0,760.1336839434225,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,11,MIKU,MIKU,1,1,0,0.23735975706561754,0.2921176246389424,8.7,8.7,1.0,3.594165447877744,31.26923939653637,2.789379842682064,0.0,1.518938275264211,0,0,102.36594305024482,18,0,all_cycles_optimal,18,18,18,0.0,18
miku-rolling-v1,crossing_pedestrian,12,B0,B0-TimeBlind,0,1,1,0.1449910129965415,0.1641442968659946,8.8,14.0,1.0,3.523956511038253,31.01081729713663,4.0,0.0,2.7884592216644473,0,0,814.9642099451739,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,12,MIKU,MIKU,0,1,1,0.27530736932231514,0.24635077863782323,8.8,14.0,1.0,3.5275147102454936,31.042129450160346,4.0,0.0,3.2668803705314224,0,0,184.97828202089295,18,0,contains_nonoptimal_cycle,18,18,18,inf,18
miku-rolling-v1,crossing_pedestrian,13,B0,B0-TimeBlind,0,1,1,0.21885157434872982,0.4244460601474318,8.9,14.0,1.0,3.515817631096331,31.29077691675735,4.0000000000000115,0.0,5.612602117270677,0,0,1066.826300957473,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,13,MIKU,MIKU,0,1,1,0.2663312679672445,0.46443990235096017,8.9,14.0,1.0,3.5151732591155174,31.285042006128105,4.0,0.0,5.635088248268775,0,0,788.871030905284,18,0,contains_nonoptimal_cycle,18,18,18,inf,18
miku-rolling-v1,crossing_pedestrian,14,B0,B0-TimeBlind,1,1,0,0.09514325468350604,0.033366000385101235,8.0,8.0,1.0,3.902920461263546,31.223363690108368,1.9915492944588287,0.0,0.9153567142032856,0,0,60.94886807841249,16,1,,,,,,16
miku-rolling-v1,crossing_pedestrian,14,MIKU,MIKU,1,1,0,0.19861828941756032,0.14710200614232047,8.2,8.2,1.0,3.803869866497791,31.191732905281885,2.240216435485435,0.0,1.0976527264164326,0,0,64.28402499295771,17,0,all_cycles_optimal,17,17,17,0.0,17
miku-rolling-v1,crossing_pedestrian,15,B0,B0-TimeBlind,0,1,1,0.05203495651605028,0.0393058093994334,8.2,14.0,1.0,3.8090590153053836,31.234283925504144,2.455495956002521,0.0,1.167704232206327,0,0,92.37352397758514,17,1,,,,,,17
miku-rolling-v1,crossing_pedestrian,15,MIKU,MIKU,1,1,0,0.15429178738448668,0.15515160746115386,8.3,8.3,1.0,3.748950127750005,31.116286060325045,2.6435908142498303,0.0,1.3041531304118608,0,0,186.4791990374215,17,0,all_cycles_optimal,17,17,17,0.0,17
miku-rolling-v1,crossing_pedestrian,16,B0,B0-TimeBlind,1,1,0,0.0912870465208698,0.15533939231047633,8.8,8.8,1.0,3.5386413538980896,31.14004391430319,3.387824278463049,0.0,1.9931531933154383,0,0,181.0366770660039,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,16,MIKU,MIKU,0,0,1,0.27732217418871186,0.4083852631162978,,14.0,0.6302991512845577,2.171030417108001,19.539273753972008,4.0,0.0,5.64864366197638,0,1,116.26279397751205,18,0,contains_nonoptimal_cycle,18,18,18,inf,18
miku-rolling-v1,crossing_pedestrian,17,B0,B0-TimeBlind,1,1,0,0.05126089390096533,0.07906948877155141,8.5,8.5,1.0,3.657819272544298,31.091463816626536,2.757534003737797,0.0,1.4508395379679906,0,0,73.07387495529838,17,1,,,,,,17
miku-rolling-v1,crossing_pedestrian,17,MIKU,MIKU,1,1,0,0.13654498229832196,0.21230729867314752,8.6,8.6,1.0,3.638120454628709,31.287835909806898,2.8147644553081044,0.0,1.5409694744652747,0,0,82.25880304235034,18,0,all_cycles_optimal,18,18,18,0.0,18
miku-rolling-v1,crossing_pedestrian,18,B0,B0-TimeBlind,0,1,1,0.10231574919357667,0.03351938993744782,7.7,14.0,1.0,4.035969828600903,31.076967680226957,1.165033151264299,0.0,0.47973916753478574,0,0,50.58167700190097,16,1,,,,,,16
miku-rolling-v1,crossing_pedestrian,18,MIKU,MIKU,1,1,0,0.21017170017688724,0.14700855469927407,7.9,7.9,1.0,3.925605382450505,31.01228252135899,1.3280128743063804,0.0,0.6180083601609732,0,0,58.789019996766,16,0,all_cycles_optimal,16,16,16,0.0,16
miku-rolling-v1,crossing_pedestrian,19,B0,B0-TimeBlind,0,1,1,0.2220578957681683,0.30999115096468777,8.9,14.0,1.0,3.5140535599393754,31.27507668346044,4.0,0.0,5.203690884907215,0,0,797.3030099528842,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,19,MIKU,MIKU,1,1,0,0.2574700643377861,0.3455157084014873,8.9,8.9,1.0,3.5116061933579745,31.253295120885976,4.0,0.0,2.534492051595015,0,0,152.54068400827236,18,0,all_cycles_optimal,18,18,18,0.0,18
miku-rolling-v1,crossing_pedestrian,20,B0,B0-TimeBlind,0,1,1,0.12459467991495216,0.4919590792528358,8.9,14.0,1.0,3.4836997224960817,31.004927530215127,4.00000000000001,0.0,2.3419690675581464,0,0,135.34308891394176,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,20,MIKU,MIKU,1,1,0,0.1948163723769109,0.6092912540526353,9.0,9.0,1.0,3.4933372019013733,31.44003481711236,4.000000000000018,0.0,2.3408504045814693,0,0,114.80077094165608,18,0,all_cycles_optimal,18,18,18,0.0,18
miku-rolling-v1,crossing_pedestrian,21,B0,B0-TimeBlind,0,1,1,0.11158954671504051,0.0375514268863662,8.3,14.0,1.0,3.7638454404045487,31.23991715535776,1.3976974459083868,0.0,0.8619901724294344,0,0,80.80211895867251,17,1,,,,,,17
miku-rolling-v1,crossing_pedestrian,21,MIKU,MIKU,0,1,1,0.24116266627931116,0.1722553248133794,8.9,14.0,1.0,3.491075737396327,31.070574062827312,4.0,0.0,3.897898765719871,0,0,150.01151702017523,18,0,contains_nonoptimal_cycle,18,18,18,inf,18
miku-rolling-v1,crossing_pedestrian,22,B0,B0-TimeBlind,0,1,1,0.056389923820906906,0.04449007655821933,8.3,14.0,1.0,3.752485005770165,31.145625547892372,1.8624993769543425,0.0,1.0086229056439928,0,0,68.90116300201043,17,1,,,,,,17
miku-rolling-v1,crossing_pedestrian,22,MIKU,MIKU,1,1,0,0.1664014752323848,0.1628801472746391,8.4,8.4,1.0,3.709449970116587,31.15937974897933,2.008572943446443,0.0,1.1262111519792455,0,0,86.76695096073672,17,0,all_cycles_optimal,17,17,17,0.0,17
miku-rolling-v1,crossing_pedestrian,23,B0,B0-TimeBlind,0,1,1,0.1439998899813067,0.4122912490139407,8.9,14.0,1.0,3.5010441275186164,31.159292734915688,4.0,0.0,2.490671312131834,0,0,78.72683895402588,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,23,MIKU,MIKU,1,1,0,0.21336334587557443,0.4859898765941142,8.9,8.9,1.0,3.4975184680028004,31.127914365224925,4.0,0.0,2.5148393103020767,0,0,148.75040799961425,18,0,all_cycles_optimal,18,18,18,0.0,18
miku-rolling-v1,crossing_pedestrian,24,B0,B0-TimeBlind,1,1,0,0.07279540020571429,0.049970638583182125,8.5,8.5,1.0,3.6846599353408713,31.319609450397405,2.1085555865601378,0.0,1.2150344638820638,0,0,165.03554000519216,17,1,,,,,,17
miku-rolling-v1,crossing_pedestrian,24,MIKU,MIKU,0,1,1,0.1875188706272938,0.19700393503036545,8.9,14.0,1.0,3.515995559930287,31.292360483379554,4.0,0.0,4.215639173361581,0,0,156.06951696099713,18,0,contains_nonoptimal_cycle,18,18,18,inf,18
miku-rolling-v1,crossing_pedestrian,25,B0,B0-TimeBlind,0,1,1,0.6509745234454949,0.5700742943094782,8.9,14.0,1.0,3.5131053575042612,31.266637681787927,4.0,0.0,5.6289170360072225,0,0,701.5962520381436,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,25,MIKU,MIKU,1,1,0,0.11457853820359372,0.2080484948410901,8.6,8.6,1.0,3.6295030134517328,31.2137259156849,2.4085335393867267,0.0,1.4407325861732962,0,0,105.67541097407229,18,0,all_cycles_optimal,18,18,18,0.0,18
miku-rolling-v1,crossing_pedestrian,26,B0,B0-TimeBlind,0,1,1,0.27866093234487144,0.3202174761815572,8.8,14.0,1.0,3.538336462645127,31.137360871277117,4.0,0.0,4.390352181282449,0,0,729.4822190597188,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,26,MIKU,MIKU,1,1,0,0.1066192746211625,0.1818176270187678,8.4,8.4,1.0,3.6948755728047122,31.036954811559585,2.282050059667407,0.0,1.2230586633246758,0,0,62.902025965740904,17,0,all_cycles_optimal,17,17,17,0.0,17
miku-rolling-v1,crossing_pedestrian,27,B0,B0-TimeBlind,1,1,0,0.05524330623779642,0.1300851701240332,8.8,8.8,1.0,3.5586756573116243,31.316345784342296,3.095033480784908,0.0,1.7319732839238147,0,0,104.48684304719791,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,27,MIKU,MIKU,0,0,1,0.2878046969128122,0.39765624134637545,,14.0,0.634161958687083,2.18433563550941,19.65902071958469,4.0,0.0,6.197549893364788,0,1,110.42570407153107,18,0,contains_nonoptimal_cycle,18,18,18,inf,18
miku-rolling-v1,crossing_pedestrian,28,B0,B0-TimeBlind,0,1,1,0.10069751300202734,0.03360309633839967,8.1,14.0,1.0,3.8271679122898195,31.000060089547535,2.676305624979642,0.0,1.2880087120109747,0,0,95.40476088295691,17,1,,,,,,17
miku-rolling-v1,crossing_pedestrian,28,MIKU,MIKU,0,1,1,0.22164192433069774,0.15705612422858217,8.8,14.0,1.0,3.5243576748122045,31.0143475383474,4.0,0.0,3.075228075040857,0,0,162.10682899691164,18,0,contains_nonoptimal_cycle,18,18,18,inf,18
miku-rolling-v1,crossing_pedestrian,29,B0,B0-TimeBlind,1,1,0,0.0965454191954016,0.16592441239302042,8.5,8.5,1.0,3.6568699154988225,31.08339428173999,1.989411669717093,0.0,1.225272043402296,0,0,55.69992499658838,17,1,,,,,,17
miku-rolling-v1,crossing_pedestrian,29,MIKU,MIKU,1,1,0,0.0965454191954016,0.1871016054557985,8.5,8.5,1.0,3.6621493265937692,31.12826927604704,2.0544246988140564,0.0,1.2178706189087767,0,0,60.76674806536175,17,0,all_cycles_optimal,17,17,17,0.0,17
miku-rolling-v1,crossing_pedestrian,30,B0,B0-TimeBlind,0,1,1,0.14829872309494752,0.15882668522208743,8.8,14.0,1.0,3.5315670091050757,31.07778968012467,4.0,0.0,2.9012721530664862,0,0,783.1792499637231,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,30,MIKU,MIKU,1,1,0,0.2489829531375319,0.24514934174257147,8.4,8.4,1.0,3.710272185090142,31.166286354757194,3.095144661927972,0.0,1.5353615420343376,0,0,727.8948889579624,17,0,all_cycles_optimal,17,17,17,0.0,17
miku-rolling-v1,crossing_pedestrian,31,B0,B0-TimeBlind,1,1,0,0.10251002149362368,0.2838152100591785,8.9,8.9,1.0,3.50796307005661,31.22087132350383,3.6919083710219245,0.0,2.0167340012363066,0,0,111.76877087564208,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,31,MIKU,MIKU,1,1,0,0.12695928778109428,0.31961455185396415,8.8,8.8,1.0,3.525898351133034,31.027905489970703,3.4026832907205815,0.0,1.8747542799382269,0,0,116.48649201379158,18,0,all_cycles_optimal,18,18,18,0.0,18
miku-rolling-v1,crossing_pedestrian,32,B0,B0-TimeBlind,1,1,0,0.14999997650353425,0.447728904985371,8.9,8.9,1.0,3.494558235985114,31.101568300267516,4.0000000000000195,0.0,2.52587191065459,0,0,333.92257199739106,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,32,MIKU,MIKU,0,0,1,0.2687034088368092,0.49069148494890896,,14.0,0.619984875114113,2.135503464310677,19.219531178796093,4.0,0.0,8.356404505165983,0,1,258.878365973942,18,0,contains_nonoptimal_cycle,18,18,18,inf,18
miku-rolling-v1,crossing_pedestrian,33,B0,B0-TimeBlind,0,1,1,0.04897009073525971,0.04278248400622252,8.2,14.0,1.0,3.793421016415423,31.106052334606467,1.7184883408243528,0.0,0.8969568144848828,0,0,66.41488402965479,17,1,,,,,,17
miku-rolling-v1,crossing_pedestrian,33,MIKU,MIKU,1,1,0,0.14531396374880345,0.16020330057930993,8.3,8.3,1.0,3.7451406287151596,31.084667218335827,1.8579212355565355,0.0,1.012157492294485,0,0,67.34137705643661,17,0,all_cycles_optimal,17,17,17,0.0,17
miku-rolling-v1,crossing_pedestrian,34,B0,B0-TimeBlind,1,1,0,0.1363921211380379,0.13197617962875358,8.6,8.6,1.0,3.6160217405771564,31.097786968963543,3.700003864566811,0.0,2.0607990455599543,0,0,148.60897909966297,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,34,MIKU,MIKU,0,1,1,0.2513310855749371,0.23858206912145907,8.9,14.0,1.0,3.5250428133919156,31.37288103918805,4.0,0.0,3.149551726177416,0,0,129.9216020561289,18,0,contains_nonoptimal_cycle,18,18,18,inf,18
miku-rolling-v1,crossing_pedestrian,35,B0,B0-TimeBlind,0,1,1,0.1347432063193591,0.3912171065480188,8.9,14.0,1.0,3.505445551285759,31.19846540644326,3.984703243103691,0.0,2.4653395639818205,0,0,113.10123995644972,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,35,MIKU,MIKU,1,1,0,0.2108575952783453,0.4836256574624301,8.9,8.9,1.0,3.497588307422308,31.128535936058544,4.0,0.0,2.502770115554529,0,0,157.19643796910532,18,0,all_cycles_optimal,18,18,18,0.0,18
miku-rolling-v1,crossing_pedestrian,36,B0,B0-TimeBlind,0,1,1,0.14116086332020497,0.5645769371128972,9.0,14.0,1.0,3.4656972235204004,31.191275011683604,3.9598268655900313,0.0,2.1193285564756166,0,0,154.34096899116412,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,36,MIKU,MIKU,0,0,1,0.20732875766290376,0.5802387454302365,,14.0,0.5602502654184418,1.9297509142190772,17.367758227971695,4.0,0.0,7.549503682394775,0,1,113.54477802524343,18,0,contains_nonoptimal_cycle,18,18,18,inf,18
miku-rolling-v1,crossing_pedestrian,37,B0,B0-TimeBlind,0,1,1,0.15990729558170802,0.1460865262259051,8.9,14.0,1.0,3.5079449675280716,31.22071021099984,4.0,0.0,3.492138785489006,0,0,841.637294011889,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,37,MIKU,MIKU,0,1,1,0.31344588893743947,0.28060054417396385,8.9,14.0,1.0,3.5084158929539466,31.224901447290126,4.0,0.0,3.659598973220048,0,0,130.96670300001279,18,0,contains_nonoptimal_cycle,18,18,18,inf,18
miku-rolling-v1,crossing_pedestrian,38,B0,B0-TimeBlind,1,1,0,0.08055692456115426,0.17126056404446172,8.9,8.9,1.0,3.5189802285096805,31.318924033736156,3.633469615669127,0.0,1.9489285814032034,0,0,70.87402205797844,18,1,,,,,,18
miku-rolling-v1,crossing_pedestrian,38,MIKU,MIKU,1,1,0,0.16412655483027205,0.3598338761912208,8.9,8.9,1.0,3.5113816479355773,31.25129666662664,3.6929203336550818,0.0,1.987035412128632,0,0,79.10456997342408,18,0,all_cycles_optimal,18,18,18,0.0,18
miku-rolling-v1,crossing_pedestrian,39,B0,B0-TimeBlind,1,1,0,0.5708165734612368,0.48490473084693203,6.5,6.5,1.0,4.7790502529343035,31.063826644072975,1.3250990667149438,0.0,0.44502976159688745,0,0,35.94548092223704,13,1,,,,,,13
miku-rolling-v1,crossing_pedestrian,39,MIKU,MIKU,1,1,0,0.5708165734612368,0.48490473084693203,6.5,6.5,1.0,4.7790502529343035,31.063826644072975,1.3250990667149438,0.0,0.44502976159688745,0,0,42.24573992541991,13,0,all_cycles_optimal,13,13,13,0.0,13
miku-rolling-v1,crossing_pedestrian,40,B0,B0-TimeBlind,1,1,0,0.3424072112970964,0.37521489205810604,7.6,7.6,1.0,4.103438847347194,31.18613523983867,0.8227191298200813,0.0,0.2866542902147793,0,0,40.785671095363796,16,1,,,,,,16
miku-rolling-v1,crossing_pedestrian,40,MIKU,MIKU,1,1,0,0.3424072112970964,0.37521489205810604,7.6,7.6,1.0,4.103438847347194,31.18613523983867,0.8227191298200813,0.0,0.2866542902147793,0,0,45.10530596598983,16,0,all_cycles_optimal,16,16,16,0.0,16
miku-rolling-v1,crossing_pedestrian,41,B0,B0-TimeBlind,1,1,0,0.11775678266780298,0.14255888312490358,8.4,8.4,1.0,3.6975060941119966,31.059051190540774,2.116138246851505,0.0,1.255454397015683,0,0,125.40811693179421,17,1,,,,,,17
