spatial_layers,spatial_homotopies,domain_size,evaluated_candidates,expanded_spatial_branches,runtime_median_ms,runtime_min_ms,runtime_max_ms
1,2,2,2,2,21.192321000853553,20.62629899592139,21.487383026396856
2,4,5,5,4,75.50188800087199,75.4033990087919,77.84006302244961
3,8,10,10,8,273.3837690029759,273.2602269970812,273.6961319751572
4,16,20,20,16,778.1987870112062,775.1981589826755,778.3527669962496
5,32,40,40,32,1545.3840720001608,1541.1094989976846,1551.044380001258
