comparison,metric,n,mean_difference,ci_low,ci_high,cohen_dz
MIKU-B0,success,60,0.06666666666666667,0.016666666666666666,0.13333333333333333,0.26502470684465484
MIKU-B0,collision,60,0.016666666666666666,0.0,0.05,0.12909944487358055
MIKU-B1,success,60,0.016666666666666666,-0.03333333333333333,0.08333333333333333,0.07411802958204411
MIKU-B1,collision,60,0.016666666666666666,0.0,0.05,0.12909944487358055
MIKU-B2,success,60,0.03333333333333333,0.0,0.08333333333333333,0.18414137497317518
MIKU-B2,collision,60,0.016666666666666666,0.0,0.05,0.12909944487358055
