schema_version,case_kind,seed,method,method_label,success,reached,collision,min_clearance_m,min_ttc_s,arrival_time_s,penalized_travel_time_s,progress_ratio,average_speed_mps,path_length_m,max_longitudinal_acceleration_mps2,max_lateral_acceleration_mps2,jerk_rms_mps3,time_window_violations,degraded_stop,runtime_ms,iterations,iterative_converged,joint_search_status,joint_domain_size,joint_evaluated_candidates,joint_expanded_spatial_branches,joint_absolute_gap
miku-random-v3,crossing_pedestrian,0,B0,B0-TimeBlind,1,1,0,0.15991469531813826,0.16315701263592225,9.0,9.0,1.0,3.444444555555555,31.000000999999997,2.4467585583766933,0.0,1.0707958721963997,0,0,7.185625989222899,1,1,,,,,
miku-random-v3,crossing_pedestrian,0,B1,B1-TimeAwareGreedy,1,1,0,0.15991469531813826,0.16315701263592225,9.0,9.0,1.0,3.444444555555555,31.000000999999997,2.4467585583766933,0.0,1.0707958721963997,0,0,5.732028977945447,1,1,,,,,
miku-random-v3,crossing_pedestrian,0,B2,B2-IterativePVD,1,1,0,0.15991469531813826,0.16315701263592225,9.0,9.0,1.0,3.444444555555555,31.000000999999997,2.4467585583766933,0.0,1.0707958721963997,0,0,17.15215397416614,3,1,,,,,
miku-random-v3,crossing_pedestrian,0,MIKU,MIKU,1,1,0,0.2611523790789323,0.2852216527101232,9.0,9.0,1.0,3.4444445555555556,31.000001,2.557541079173365,0.0,1.123622354054011,0,0,5.649375991197303,1,0,optimal,1,1,1,0.0
miku-random-v3,crossing_pedestrian,1,B0,B0-TimeBlind,1,1,0,0.08000099943726946,0.041886041486572316,9.0,9.0,1.0,3.4444445555555556,31.000001,3.0783383446136043,0.0,1.286563541786923,0,0,4.480033996514976,1,1,,,,,
miku-random-v3,crossing_pedestrian,1,B1,B1-TimeAwareGreedy,1,1,0,0.08000099943726946,0.041886041486572316,9.0,9.0,1.0,3.4444445555555556,31.000001,3.0783383446136043,0.0,1.286563541786923,0,0,4.430731991305947,1,1,,,,,
miku-random-v3,crossing_pedestrian,1,B2,B2-IterativePVD,1,1,0,0.08000099943726946,0.041886041486572316,9.0,9.0,1.0,3.4444445555555556,31.000001,3.0783383446136043,0.0,1.286563541786923,0,0,15.627438988303766,3,0,,,,,
miku-random-v3,crossing_pedestrian,1,MIKU,MIKU,1,1,0,0.1939760780011639,0.1588103680032106,9.0,9.0,1.0,3.4444445555555556,31.000001,3.291707137728491,0.0,1.389793426737253,0,0,5.3707150218542665,1,0,optimal,1,1,1,0.0
miku-random-v3,crossing_pedestrian,2,B0,B0-TimeBlind,0,1,1,0.007470364328373336,0.027293326587050273,9.0,14.0,1.0,3.444444555555556,31.000001000000005,1.2541248687463629,0.0,0.386659922968914,0,0,5.194333003601059,1,1,,,,,
miku-random-v3,crossing_pedestrian,2,B1,B1-TimeAwareGreedy,1,1,0,0.43503632337190834,0.38639179728730355,9.0,9.0,1.0,3.445824376387767,31.012419387489906,1.2449853546928091,0.44520242887996603,0.35746490924465196,0,0,3.6788469878956676,1,1,,,,,
miku-random-v3,crossing_pedestrian,2,B2,B2-IterativePVD,1,1,0,0.43503632337190834,0.38639179728730355,9.0,9.0,1.0,3.445824376387767,31.012419387489906,1.2449853546928091,0.44520242887996603,0.35746490924465196,0,0,11.710988997947425,3,1,,,,,
miku-random-v3,crossing_pedestrian,2,MIKU,MIKU,1,1,0,0.23813816632197063,0.23760311653215924,9.0,9.0,1.0,3.4444445555555556,31.000001,1.7057565511354171,0.0,0.6593701849717711,0,0,5.2703490073326975,1,0,optimal,1,1,1,0.0
miku-random-v3,crossing_pedestrian,3,B0,B0-TimeBlind,1,1,0,0.14980228649378802,0.44550264748071494,9.0,9.0,1.0,3.44444455480909,31.00000099328181,3.9999999933788177,0.0,1.934764276885585,0,0,16.880205977940932,1,1,,,,,
miku-random-v3,crossing_pedestrian,3,B1,B1-TimeAwareGreedy,1,1,0,0.14980228649378802,0.44550264748071494,9.0,9.0,1.0,3.44444455480909,31.00000099328181,3.9999999933788177,0.0,1.934764276885585,0,0,16.99263000045903,1,1,,,,,
miku-random-v3,crossing_pedestrian,3,B2,B2-IterativePVD,1,1,0,0.14980228649378802,0.44550264748071494,9.0,9.0,1.0,3.44444455480909,31.00000099328181,3.9999999933788177,0.0,1.934764276885585,0,0,50.89699800009839,3,1,,,,,
miku-random-v3,crossing_pedestrian,3,MIKU,MIKU,1,1,0,0.200179270267963,0.4857755997215261,9.0,9.0,1.0,3.4444445587191224,31.000001028472102,4.000000015305119,0.0,1.9496155381522273,0,0,31.575923989294097,1,0,optimal,1,1,1,0.0
miku-random-v3,crossing_pedestrian,4,B0,B0-TimeBlind,1,1,0,1.3403029921929202,1.0330745579023088,9.0,9.0,1.0,3.4444445555555556,31.000001,0.9486459824344095,0.0,0.27237882657659285,0,0,3.2899799989536405,1,1,,,,,
miku-random-v3,crossing_pedestrian,4,B1,B1-TimeAwareGreedy,1,1,0,1.3403029921929202,1.0330745579023088,9.0,9.0,1.0,3.4444445555555556,31.000001,0.9486459824344095,0.0,0.27237882657659285,0,0,3.3236809831578285,1,1,,,,,
miku-random-v3,crossing_pedestrian,4,B2,B2-IterativePVD,1,1,0,1.3403029921929202,1.0330745579023088,9.0,9.0,1.0,3.4444445555555556,31.000001,0.9486459824344095,0.0,0.27237882657659285,0,0,10.046309005701914,3,1,,,,,
miku-random-v3,crossing_pedestrian,4,MIKU,MIKU,1,1,0,1.3403029921929202,1.0330745579023088,9.0,9.0,1.0,3.4444445555555556,31.000001,0.9486459824344095,0.0,0.27237882657659285,0,0,3.7022509786766022,1,0,optimal,1,1,1,0.0
miku-random-v3,crossing_pedestrian,5,B0,B0-TimeBlind,1,1,0,0.8991313935747104,0.679644058815059,9.0,9.0,1.0,3.444444555555556,31.000001000000005,0.8855412189293024,0.0,0.25425994792937173,0,0,3.2795409788377583,1,1,,,,,
miku-random-v3,crossing_pedestrian,5,B1,B1-TimeAwareGreedy,1,1,0,0.8991313935747104,0.679644058815059,9.0,9.0,1.0,3.444444555555556,31.000001000000005,0.8855412189293024,0.0,0.25425994792937173,0,0,3.3401440014131367,1,1,,,,,
miku-random-v3,crossing_pedestrian,5,B2,B2-IterativePVD,1,1,0,0.8991313935747104,0.679644058815059,9.0,9.0,1.0,3.444444555555556,31.000001000000005,0.8855412189293024,0.0,0.25425994792937173,0,0,10.047596995718777,3,1,,,,,
miku-random-v3,crossing_pedestrian,5,MIKU,MIKU,1,1,0,0.8991313935747104,0.679644058815059,9.0,9.0,1.0,3.444444555555556,31.000001000000005,0.8855412189293024,0.0,0.25425994792937173,0,0,3.7365659954957664,1,0,optimal,1,1,1,0.0
miku-random-v3,crossing_pedestrian,6,B0,B0-TimeBlind,1,1,0,0.11238097534171508,0.28788809131944854,9.0,9.0,1.0,3.4444445555555556,31.000001,2.948084319912057,0.0,1.2170957460567216,0,0,6.033361016307026,1,1,,,,,
miku-random-v3,crossing_pedestrian,6,B1,B1-TimeAwareGreedy,1,1,0,0.11238097534171508,0.28788809131944854,9.0,9.0,1.0,3.4444445555555556,31.000001,2.948084319912057,0.0,1.2170957460567216,0,0,6.00116400164552,1,1,,,,,
miku-random-v3,crossing_pedestrian,6,B2,B2-IterativePVD,1,1,0,0.11238097534171508,0.28788809131944854,9.0,9.0,1.0,3.4444445555555556,31.000001,2.948084319912057,0.0,1.2170957460567216,0,0,18.34779398632236,3,1,,,,,
miku-random-v3,crossing_pedestrian,6,MIKU,MIKU,1,1,0,0.20011580914359506,0.5593597385985732,9.0,9.0,1.0,3.4444445555555556,31.000001,2.9598071750652712,0.0,1.2236255545918255,0,0,6.724046979798004,1,0,optimal,1,1,1,0.0
miku-random-v3,crossing_pedestrian,7,B0,B0-TimeBlind,1,1,0,0.1500000000000008,0.4719589416098786,9.0,9.0,1.0,3.444444555555556,31.000001000000005,3.768288036431365,0.0,1.6591185339723948,0,0,11.253574979491532,1,1,,,,,
miku-random-v3,crossing_pedestrian,7,B1,B1-TimeAwareGreedy,1,1,0,0.1500000000000008,0.4719589416098786,9.0,9.0,1.0,3.444444555555556,31.000001000000005,3.768288036431365,0.0,1.6591185339723948,0,0,11.294491006992757,1,1,,,,,
miku-random-v3,crossing_pedestrian,7,B2,B2-IterativePVD,1,1,0,0.1500000000000008,0.4719589416098786,9.0,9.0,1.0,3.444444555555556,31.000001000000005,3.768288036431365,0.0,1.6591185339723948,0,0,34.06210002140142,3,1,,,,,
miku-random-v3,crossing_pedestrian,7,MIKU,MIKU,1,1,0,0.2014323316908695,0.5166717602868811,9.0,9.0,1.0,3.4444445555555556,31.000001,3.7848354704910703,0.0,1.6691548794286921,0,0,30.899667006451637,1,0,optimal,1,1,1,0.0
miku-random-v3,crossing_pedestrian,8,B0,B0-TimeBlind,1,1,0,0.11702027022243144,0.03309039423095098,9.0,9.0,1.0,3.444444555555555,31.000000999999997,2.0888401344001344,0.0,0.7844120685614632,0,0,4.879493993939832,1,1,,,,,
miku-random-v3,crossing_pedestrian,8,B1,B1-TimeAwareGreedy,0,0,0,2.23257296412564,1.2085039934182606,,14.0,0.46774196779545596,1.6111192694481435,14.500073425033293,3.560277443473275,0.0,1.4335789991421097,0,1,11.495182989165187,1,1,,,,,
miku-random-v3,crossing_pedestrian,8,B2,B2-IterativePVD,1,1,0,0.11702027022243144,0.03309039423095098,9.0,9.0,1.0,3.444444555555555,31.000000999999997,2.0888401344001344,0.0,0.7844120685614632,0,0,22.372131003066897,3,0,,,,,
miku-random-v3,crossing_pedestrian,8,MIKU,MIKU,1,1,0,0.23171910504516113,0.14623786188090473,9.0,9.0,1.0,3.4444445555555556,31.000001,2.3114359699570177,0.0,0.8976227358692571,0,0,5.547456006752327,1,0,optimal,1,1,1,0.0
miku-random-v3,crossing_pedestrian,9,B0,B0-TimeBlind,1,1,0,0.14396592110499062,0.12856624609333053,9.0,9.0,1.0,3.4444445555555556,31.000001,1.7552515870746468,0.0,0.6252588519597897,0,0,4.847569012781605,1,1,,,,,
miku-random-v3,crossing_pedestrian,9,B1,B1-TimeAwareGreedy,1,1,0,0.5720848027799521,0.4311010098354349,9.0,9.0,1.0,3.446286683078287,31.016580147704584,1.4932086506901314,0.5636129697252983,0.42935402108250653,0,0,4.246633005095646,1,1,,,,,
miku-random-v3,crossing_pedestrian,9,B2,B2-IterativePVD,1,1,0,0.5720848027799521,0.4311010098354349,9.0,9.0,1.0,3.446286683078287,31.016580147704584,1.4932086506901314,0.5636129697252983,0.42935402108250653,0,0,13.16552099888213,3,1,,,,,
