case_kind,seed,method,failure_type,progress_ratio,min_clearance_m
vehicle_cut_in,35,MIKU,unreached_or_fallback_stop,0.2413812558886218,5.79797940924938
vehicle_cut_in,40,B0,unreached_or_fallback_stop,0.859621176013039,0.27501409718866743
vehicle_cut_in,40,B1,unreached_or_fallback_stop,0.2874493929258973,4.019071174929057
vehicle_cut_in,40,B2,unreached_or_fallback_stop,0.2874493929258973,4.019071174929057
vehicle_cut_in,40,MIKU,unreached_or_fallback_stop,0.859621176013039,0.27501409718866743
vehicle_cut_in,44,B1,unreached_or_fallback_stop,0.4634146612028518,4.762812426989274
vehicle_cut_in,47,B0,unreached_or_fallback_stop,0.8415255363596271,0.2559874148185095
vehicle_cut_in,47,B1,unreached_or_fallback_stop,0.8415255363596271,0.2559874148185095
vehicle_cut_in,47,B2,unreached_or_fallback_stop,0.8415255363596271,0.2559874148185095
vehicle_cut_in,47,MIKU,unreached_or_fallback_stop,0.8415255363596271,0.2559874148185095
vehicle_cut_in,50,B0,collision,0.9392174685670518,-0.14223845296419935
vehicle_cut_in,50,B1,collision,0.9392174685670518,-0.14223845296419935
vehicle_cut_in,50,B2,collision,0.9392174685670518,-0.14223845296419935
vehicle_cut_in,50,MIKU,unreached_or_fallback_stop,0.18551413100463543,8.973854797011647
vehicle_cut_in,57,MIKU,unreached_or_fallback_stop,0.2006763279280291,5.820857880174524
vehicle_cut_in,67,B0,unreached_or_fallback_stop,0.9104887215806041,0.2702662286027717
vehicle_cut_in,67,B1,unreached_or_fallback_stop,0.9104887215806041,0.2702662286027717
vehicle_cut_in,67,B2,unreached_or_fallback_stop,0.9104887215806041,0.2702662286027717
vehicle_cut_in,67,MIKU,unreached_or_fallback_stop,0.9104887215806041,0.2702662286027717
vehicle_cut_in,71,MIKU,unreached_or_fallback_stop,0.294352070998917,6.276337053574808
vehicle_cut_in,72,MIKU,unreached_or_fallback_stop,0.2586821298899588,3.5601568717283474
vehicle_cut_in,80,B0,unreached_or_fallback_stop,0.815766905738237,0.26073094083042925
vehicle_cut_in,80,B1,unreached_or_fallback_stop,0.815766905738237,0.26073094083042925
vehicle_cut_in,80,B2,unreached_or_fallback_stop,0.815766905738237,0.26073094083042925
vehicle_cut_in,80,MIKU,unreached_or_fallback_stop,0.815766905738237,0.26073094083042925
vehicle_cut_in,85,B0,collision,1.0,-0.3640374662349901
vehicle_cut_in,85,B1,collision,1.0,-0.3640374662349901
vehicle_cut_in,85,B2,collision,1.0,-0.3640374662349901
vehicle_cut_in,85,MIKU,unreached_or_fallback_stop,0.15617779931000617,7.627685163665467
vehicle_cut_in,88,B0,unreached_or_fallback_stop,0.9041958483887201,0.27779090673752194
vehicle_cut_in,88,B1,unreached_or_fallback_stop,0.9041958483887201,0.27779090673752194
vehicle_cut_in,88,B2,unreached_or_fallback_stop,0.9041958483887201,0.27779090673752194
vehicle_cut_in,88,MIKU,unreached_or_fallback_stop,0.9041958483887201,0.27779090673752194
vehicle_cut_in,92,B0,unreached_or_fallback_stop,0.8291444120807419,0.26950002164210396
vehicle_cut_in,92,B1,unreached_or_fallback_stop,0.8291444120807419,0.26950002164210396
vehicle_cut_in,92,B2,unreached_or_fallback_stop,0.8291444120807419,0.26950002164210396
vehicle_cut_in,92,MIKU,unreached_or_fallback_stop,0.8291444120807419,0.26950002164210396
parked_and_oncoming,3,B0,unreached_or_fallback_stop,0.10414815544956295,0.5707090847911711
parked_and_oncoming,3,B1,unreached_or_fallback_stop,0.10414815544956295,0.5707090847911711
parked_and_oncoming,3,B2,unreached_or_fallback_stop,0.10414815544956295,0.5707090847911711
parked_and_oncoming,3,MIKU,unreached_or_fallback_stop,0.12291800292055922,0.5387521456926863
