scenario,variant,trial,success,s_end,jerk_rms,l_max_dev
04_dense_construction,threat_weights,9,1,84.0,0.02511318747575181,3.8367888694130405
04_dense_construction,threat_weights,10,1,84.0,0.02511318747575181,3.8271440530130625
04_dense_construction,threat_weights,11,1,84.0,0.02511318747575181,3.833680805138396
04_dense_construction,threat_weights,12,1,84.0,0.02511318747575181,3.835594687744666
04_dense_construction,threat_weights,13,1,84.0,0.02511318747575181,3.8352852081088558
04_dense_construction,threat_weights,14,1,84.0,0.02511318747575181,3.833257614125645
04_dense_construction,threat_weights,15,1,84.0,0.02511318747575181,3.843632228259999
04_dense_construction,threat_weights,16,1,84.0,0.02511318747575181,3.8317970479132284
04_dense_construction,threat_weights,17,1,84.0,0.02511318747575181,3.8304286694175365
04_dense_construction,threat_weights,18,1,84.0,0.02511318747575181,3.8428849956020192
04_dense_construction,threat_weights,19,1,84.0,0.02511318747575181,3.837024571960959
01_crossing_ped,tau_-20pct,0,0,19.38961983389144,2.0432923012217676,0.0
01_crossing_ped,tau_+20pct,0,1,24.0,0.6039644109694743,0.36320596103752306
01_crossing_ped,obstacle_speed_-0.5mps,0,0,0.0,0.0,0.0
01_crossing_ped,obstacle_speed_+0.5mps,0,1,24.0,0.6039644109694743,0.6024492113937824
01_crossing_ped,obstacle_lateral_-0.2m,0,0,0.0,0.0,0.0
01_crossing_ped,obstacle_lateral_+0.2m,0,1,24.0,0.6039644109694743,0.47881119616976503
02_ped_plus_parked,tau_-20pct,0,0,0.0,0.0,0.0
02_ped_plus_parked,tau_+20pct,0,1,30.99999999998246,0.5191666145045568,0.5062808657484122
02_ped_plus_parked,obstacle_speed_-0.5mps,0,0,0.0,0.0,0.0
02_ped_plus_parked,obstacle_speed_+0.5mps,0,1,31.0,0.40012187547720895,0.5631184425593544
02_ped_plus_parked,obstacle_lateral_-0.2m,0,0,0.0,0.0,0.0
02_ped_plus_parked,obstacle_lateral_+0.2m,0,1,31.0,0.40012187547720895,0.4458297450459678
03_narrow_cones,tau_-20pct,0,1,49.0,0.03316550594537274,0.0
03_narrow_cones,tau_+20pct,0,1,49.0,0.03316550594537274,0.0
03_narrow_cones,obstacle_speed_-0.5mps,0,1,49.0,0.03316550594537274,0.0
03_narrow_cones,obstacle_speed_+0.5mps,0,1,49.0,0.03316550594537274,0.0
03_narrow_cones,obstacle_lateral_-0.2m,0,1,49.0,0.03316550594537274,0.10070385564396099
03_narrow_cones,obstacle_lateral_+0.2m,0,1,49.0,0.03316550594537274,0.17248983550815133
04_dense_construction,tau_-20pct,0,1,84.0,0.02511318747575181,3.8346054096397455
04_dense_construction,tau_+20pct,0,1,84.0,0.02511318747575181,3.8346054096397455
04_dense_construction,obstacle_speed_-0.5mps,0,1,84.0,0.02511318747575181,3.8346054096397455
04_dense_construction,obstacle_speed_+0.5mps,0,1,84.0,0.02511318747575181,3.8346054096397455
04_dense_construction,obstacle_lateral_-0.2m,0,1,84.0,0.02511318747575181,3.6303773740373457
04_dense_construction,obstacle_lateral_+0.2m,0,1,84.0,0.02511318747575181,4.0388333293029195
